id,title,body,department,sentiment
290,Overpriced menu,Room service never delivered our order.,F&B,negative
167,Rude staff,Staff at front desk ignored us completely.,Reception,negative
286,Cold breakfast,The restaurant was overpriced for poor quality.,F&B,negative
188,Unhelpful reception,Front desk staff was unfriendly and cold.,Reception,negative
46,Excellent cleaning,Pillows and blankets were fresh and clean.,Housekeeping,positive
258,Cold breakfast,"Found a hair in my soup, disgusting.",F&B,negative
40,Great housekeeping,The bed sheets were clean and smelled wonderful.,Housekeeping,positive
182,Rude staff,The receptionist was rude and unhelpful.,Reception,negative
118,Smooth check-in,Front desk staff went above and beyond.,Reception,positive
163,Rude staff,The receptionist was rude and unhelpful.,Reception,negative
93,Terrible hygiene,"Very poor cleaning standards, disappointed.",Housekeeping,negative
111,Smooth check-in,The receptionist was very helpful and kind.,Reception,positive
242, Excellent dining,Dinner at the hotel restaurant was fantastic.,F&B,positive
126,Excellent service,Check-in was fast and the staff was friendly.,Reception,positive
108,Excellent service,Check-out was painless and very efficient.,Reception,positive
4,Spotless room!,The chembermaids did an outstanding job.,Housekeeping,positive
88,Poor cleaning,Room was never cleaned during our stay.,Housekeeping,negative
166,Long check-in queue,Check-in was disorganized and chaotic.,Reception,negative
276,Overpriced menu,The restaurant was overpriced for poor quality.,F&B,negative
18,Very clean stay,"Excellent housekeeping, everything was tidy.",Housekeeping,positive
254,Terrible food,Food took too long to arrive at our table.,F&B,negative
170,Chaotic check-out,Nobody helped us with our luggage.,Reception,negative
110,Helpful receptionist,Payment was handled quickly and correctly.,Reception,positive
137,Smooth check-in,"Quick and easy check-in, great welcome.",Reception,positive
89,Disgusting bathroom,"Found hair in the bathroom, unacceptable.",Housekeeping,negative
264,Cold breakfast,Breakfast was cold and tasteless.,F&B,negative
201,Great restaurant,The buffet had a great selection of dishes.,F&B,positive
145,Excellent service,The receptionist was very helpful and kind.,Reception,positive
204,Great restaurant,Fresh fruit and pastries every morning.,F&B,positive
31,Excellent cleaning,"Excellent housekeeping, everything was tidy.",Housekeeping,positive
207,Delicious breakfast,The bar staff made amazing cocktails.,F&B,positive
154,Chaotic check-out,Front desk staff was unfriendly and cold.,Reception,negative
176,Chaotic check-out,We were charged incorrectly at check-out.,Reception,negative
218,Amazing food,Breakfast was absolutely delicious.,F&B,positive
78,Disgusting bathroom,Sheets looked used and not washed.,Housekeeping,negative
198,Long check-in queue,The receptionist was rude and unhelpful.,Reception,negative
179,Billing error,Staff at front desk ignored us completely.,Reception,negative
272,Disappointing restaurant,"The food made me feel sick, very bad quality.",F&B,negative
63,Room not cleaned,The toilet was not cleaned at all.,Housekeeping,negative
161,Rude staff,We waited 40 minutes just to check in.,Reception,negative
213,Great restaurant,The bar staff made amazing cocktails.,F&B,positive
177,Billing error,Nobody helped us with our luggage.,Reception,negative
152,Chaotic check-out,The receptionist was rude and unhelpful.,Reception,negative
20,Spotless room!,Room cleaning was done quickly and thoroughly.,Housekeeping,positive
51,Poor cleaning,The toilet was not cleaned at all.,Housekeeping,negative
248,Lovely buffet,Great coffee and lovely breakfast atmosphere.,F&B,positive
102,Smooth check-in,The receptionist was very helpful and kind.,Reception,positive
97,Terrible hygiene,The room was dirty and not cleaned properly.,Housekeeping,negative
282,Terrible food,"The coffee was terrible, tasted like water.",F&B,negative
174,Long check-in queue,Nobody helped us with our luggage.,Reception,negative
148,Smooth check-in,Payment was handled quickly and correctly.,Reception,positive
260,Overpriced menu,The dinner was bland and disappointing.,F&B,negative
238,Amazing food,The chef prepared outstanding dishes.,F&B,positive
7,Spotless room!,"Excellent housekeeping, everything was tidy.",Housekeeping,positive
149,Friendly staff,Check-out was painless and very efficient.,Reception,positive
28,Excellent cleaning,"Excellent housekeeping, everything was tidy.",Housekeeping,positive
80,Dirty room,Sheets looked used and not washed.,Housekeeping,negative
275,Overpriced menu,Bar was closed when it should have been open.,F&B,negative
210,Lovely buffet,Fresh fruit and pastries every morning.,F&B,positive
303,Clean room but bad breakfast,"The room was spotless and tidy, however the buffet was cold and tasteless.",Housekeeping,positive
30,Very clean stay,"Excellent housekeeping, everything was tidy.",Housekeeping,positive
184,Rude staff,"Check-in took forever, very long queue.",Reception,negative
192,Billing error,Our room was not ready despite early arrival.,Reception,negative
247, Excellent dining,Fresh fruit and pastries every morning.,F&B,positive
252,Poor dining experience,Bar was closed when it should have been open.,F&B,negative
156,Long check-in queue,Check-in was disorganized and chaotic.,Reception,negative
292,Overpriced menu,Breakfast was cold and tasteless.,F&B,negative
95,Dirty room,"The floor had dust everywhere, terrible.",Housekeeping,negative
197,Billing error,Staff at front desk ignored us completely.,Reception,negative
132,Helpful receptionist,Check-in was fast and the staff was friendly.,Reception,positive
239,Great restaurant,The buffet had a great selection of dishes.,F&B,positive
112,Friendly staff,Payment was handled quickly and correctly.,Reception,positive
59,Poor cleaning,Towels were old and smelled bad.,Housekeeping,negative
243,Lovely buffet,The chef prepared outstanding dishes.,F&B,positive
65,Dirty room,"Bathroom was disgusting, mold on the walls.",Housekeeping,negative
123,Smooth check-in,The receptionist was very helpful and kind.,Reception,positive
79,Room not cleaned,The room was dirty and not cleaned properly.,Housekeeping,negative
11,Excellent cleaning,The chembermaids did an outstanding job.,Housekeeping,positive
103,Friendly staff,The staff at reception was professional.,Reception,positive
127,Friendly staff,Front desk staff went above and beyond.,Reception,positive
16,Very clean stay,The bed sheets were clean and smelled wonderful.,Housekeeping,positive
21,Very clean stay,Pillows and blankets were fresh and clean.,Housekeeping,positive
36,Very clean stay,"Excellent housekeeping, everything was tidy.",Housekeeping,positive
115,Friendly staff,The receptionist was very helpful and kind.,Reception,positive
180,Billing error,Front desk staff was unfriendly and cold.,Reception,negative
27,Very clean stay,Pillows and blankets were fresh and clean.,Housekeeping,positive
10,Spotless room!,The chembermaids did an outstanding job.,Housekeeping,positive
241,Great restaurant,Room service food arrived hot and delicious.,F&B,positive
42,Very clean stay,The room was spotless and very clean.,Housekeeping,positive
130,Smooth check-in,Payment was handled quickly and correctly.,Reception,positive
216,Amazing food,The chef prepared outstanding dishes.,F&B,positive
143,Excellent service,The concierge gave us excellent suggestions.,Reception,positive
285,Disappointing restaurant,Very limited food options at the buffet.,F&B,negative
302,"Good food, bad check-in",Breakfast was delicious but check-in took forever and staff was rude.,F&B,negative
284,Poor dining experience,Room service never delivered our order.,F&B,negative
233,Amazing food,Room service food arrived hot and delicious.,F&B,positive
109,Helpful receptionist,Front desk staff went above and beyond.,Reception,positive
168,Billing error,Nobody helped us with our luggage.,Reception,negative
195,Rude staff,Nobody helped us with our luggage.,Reception,negative
134,Helpful receptionist,"Quick and easy check-in, great welcome.",Reception,positive
26,Very clean stay,Pillows and blankets were fresh and clean.,Housekeeping,positive
94,Disgusting bathroom,"Very poor cleaning standards, disappointed.",Housekeeping,negative
237,Amazing food,The bar staff made amazing cocktails.,F&B,positive
70,Dirty room,Room was never cleaned during our stay.,Housekeeping,negative
220,Great restaurant,Room service food arrived hot and delicious.,F&B,positive
43,Excellent cleaning,The room was spotless and very clean.,Housekeeping,positive
296,Overpriced menu,"Found a hair in my soup, disgusting.",F&B,negative
289,Terrible food,The dinner was bland and disappointing.,F&B,negative
202,Great restaurant,"food quality was excellent, loved every meal.",F&B,positive
14,Very clean stay,The room was spotless and very clean.,Housekeeping,positive
274,Disappointing restaurant,Bar was closed when it should have been open.,F&B,negative
66,Disgusting bathroom,Room was never cleaned during our stay.,Housekeeping,negative
240,Lovely buffet,The bar staff made amazing cocktails.,F&B,positive
85,Dirty room,The toilet was not cleaned at all.,Housekeeping,negative
208,Delicious breakfast,Great coffee and lovely breakfast atmosphere.,F&B,positive
173,Billing error,The receptionist was rude and unhelpful.,Reception,negative
200,Unhelpful reception,Our room was not ready despite early arrival.,Reception,negative
15,Excellent cleaning,The staff cleaned our room perfectly.,Housekeeping,positive
249,Lovely buffet,The buffet had a great selection of dishes.,F&B,positive
224,Amazing food,The bar staff made amazing cocktails.,F&B,positive
140,Friendly staff,The staff at reception was professional.,Reception,positive
310,Up and down,Reception was efficient but the room had dust everywhere and food was cold.,Reception,negative
250, Excellent dining,Great coffee and lovely breakfast atmosphere.,F&B,positive
113,Great front desk,Payment was handled quickly and correctly.,Reception,positive
